CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full_Name,Age,Income_Bracket
11089,MRS.,ABIGAIL,PRICE,2/5/1957,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management,Y,ABIGAIL PRICE,69,Mid-Range
11090,MR.,TREVOR,BRYANT,12/17/1957,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional,Y,TREVOR BRYANT,69,Mid-Range
11091,MR.,DALTON,PEREZ,4/4/1957,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional,Y,DALTON PEREZ,69,Mid-Range
11092,MRS.,CHERYL,DIAZ,5/6/1967,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,Y,CHERYL DIAZ,59,Mid-Range
11093,MS.,AIMEE,HE,9/10/1967,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,Y,AIMEE HE,59,Premium
11094,MR.,CEDRIC,MA,4/1/1962,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,N,CEDRIC MA,64,Mid-Range
11095,MR.,CHAD,KUMAR,9/1/1962,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,Y,CHAD KUMAR,64,Mid-Range
11096,MR.,ANDRÉS,ANAND,8/10/1962,M,M,andrés18@adventure-works.com,60000,1,Bachelors,Professional,Y,ANDRÉS ANAND,64,Mid-Range
11097,MR.,EDWIN,NARA,10/27/1961,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,EDWIN NARA,65,Mid-Range
11098,MRS.,MALLORY,RUBIO,5/1/1961,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,N,MALLORY RUBIO,65,Mid-Range
11099,MR.,ADAM,ROSS,3/8/1961,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional,Y,ADAM ROSS,65,Mid-Range
11100,MRS.,LATASHA,NAVARRO,9/15/1960,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,LATASHA NAVARRO,66,Mid-Range
11101,MS.,ABBY,SAI,5/8/1965,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional,N,ABBY SAI,61,Mid-Range
11102,MRS.,JULIA,NELSON,4/21/1965,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional,Y,JULIA NELSON,61,Mid-Range
11103,MS.,CASSIE,CHANDE,10/17/1964,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional,Y,CASSIE CHANDE,62,Mid-Range
11104,MR.,EDGAR,SARA,3/11/1964,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional,N,EDGAR SARA,62,Mid-Range
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional,N,CANDACE FERNANDEZ,62,Mid-Range
11106,MR.,JESSIE,LIU,9/11/1964,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,N,JESSIE LIU,62,Mid-Range
11107,MRS.,BIANCA,LIN,9/9/1959,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional,Y,BIANCA LIN,67,Mid-Range
11108,MS.,KARI,ALVAREZ,7/14/1963,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional,N,KARI ALVAREZ,63,Mid-Range
11109,MR.,RUBEN,KAPOOR,11/5/1963,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,N,RUBEN KAPOOR,63,Mid-Range
11110,MR.,CURTIS,YANG,6/6/1962,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,CURTIS YANG,64,Mid-Range
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,MEREDITH GUTIERREZ,64,Mid-Range
11112,MRS.,CRYSTAL,WANG,9/9/1962,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,CRYSTAL WANG,64,Mid-Range
11113,MR.,MICHEAL,BLANCO,2/21/1962,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional,Y,MICHEAL BLANCO,64,Mid-Range
11114,MRS.,LESLIE,MORENO,5/28/1962,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,LESLIE MORENO,64,Mid-Range
11115,MR.,ALVIN,CAI,2/12/1962,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,ALVIN CAI,64,Mid-Range
11116,MR.,CLINTON,CARLSON,10/7/1962,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,CLINTON CARLSON,64,Mid-Range
11117,MRS.,APRIL,DENG,2/21/1961,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,APRIL DENG,65,Mid-Range
11118,MR.,ALVIN,ZENG,7/3/1957,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,N,ALVIN ZENG,69,Mid-Range
11119,MR.,EVAN,JAMES,4/10/1935,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical,N,EVAN JAMES,91,Budget
11121,MR.,ORLANDO,SUAREZ,11/18/1960,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,ORLANDO SUAREZ,66,Mid-Range
11122,MR.,BYRON,VAZQUEZ,4/2/1960,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,BYRON VAZQUEZ,66,Mid-Range
11123,MR.,PHILIP,ALVAREZ,6/20/1960,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,PHILIP ALVAREZ,66,Mid-Range
11124,MR.,ROSS,JORDAN,7/27/1957,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,Y,ROSS JORDAN,69,Mid-Range
11125,MRS.,DANA,NAVARRO,4/8/1956,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,Y,DANA NAVARRO,70,Mid-Range
11126,MR.,SHAUN,CARSON,4/7/1949,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,N,SHAUN CARSON,77,Budget
11127,MS.,JAN,EDWARDS,10/21/1975,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual,Y,JAN EDWARDS,51,Budget
11128,MS.,SAMANTHA,LONG,12/5/1975,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,Y,SAMANTHA LONG,51,Budget
11129,MS.,JULIA,WRIGHT,8/5/1975,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual,Y,JULIA WRIGHT,51,Budget
11130,MS.,CAROLINE,RUSSELL,1/6/1980,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,Y,CAROLINE RUSSELL,46,Budget
11131,MS.,AMANDA,RIVERA,3/12/1980,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,N,AMANDA RIVERA,46,Budget
11132,MS.,MELISSA,RICHARDSON,10/26/1980,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,N,MELISSA RICHARDSON,46,Budget
11133,MS.,ANGELA,GRIFFIN,9/8/1980,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical,N,ANGELA GRIFFIN,46,Budget
11134,MR.,LARRY,TOWNSEND,2/26/1946,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual,Y,LARRY TOWNSEND,80,Budget
11135,MR.,MARCUS,HARRIS,11/3/1979,S,M,marcus14@adventure-works.com,30000,0,Partial High School,Clerical,N,MARCUS HARRIS,47,Budget
11136,MS.,BRIANNA,MORGAN,10/26/1978,S,F,brianna30@adventure-works.com,40000,0,High School,Skilled Manual,N,BRIANNA MORGAN,48,Budget
11137,MS.,JASMINE,TAYLOR,7/20/1978,M,F,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual,Y,JASMINE TAYLOR,48,Budget
11138,MS.,LAUREN,DAVIS,9/15/1978,M,F,lauren23@adventure-works.com,40000,0,High School,Skilled Manual,N,LAUREN DAVIS,48,Budget
11139,MRS.,TANYA,MORENO,11/9/1938,S,F,tanya2@adventure-works.com,30000,2,Partial College,Clerical,N,TANYA MORENO,88,Budget
11140,MR.,JAVIER,ALVAREZ,2/11/1977,S,M,javier1@adventure-works.com,30000,0,Partial High School,Clerical,N,JAVIER ALVAREZ,49,Budget
11141,MS.,NICOLE,RAMIREZ,6/21/1977,M,F,nicole42@adventure-works.com,40000,0,High School,Skilled Manual,N,NICOLE RAMIREZ,49,Budget
11142,MR.,EDUARDO,PATTERSON,8/14/1977,S,M,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual,N,EDUARDO PATTERSON,49,Budget
11143,MR.,JONATHAN,HENDERSON,2/4/1977,M,M,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual,Y,JONATHAN HENDERSON,49,Budget
11144,MR.,EDWARD,HERNANDEZ,9/9/1979,S,M,edward48@adventure-works.com,40000,0,High School,Skilled Manual,N,EDWARD HERNANDEZ,47,Budget
11145,MS.,JASMINE,COLEMAN,12/8/1979,S,F,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual,N,JASMINE COLEMAN,47,Budget
11146,MRS.,KARLA,GOEL,8/26/1939,S,F,karla20@adventure-works.com,40000,2,Bachelors,Management,Y,KARLA GOEL,87,Budget
11147,MR.,ERNEST,WU,2/5/1939,M,M,ernest6@adventure-works.com,60000,2,Graduate Degree,Management,Y,ERNEST WU,87,Mid-Range
11148,MR.,ROSS,VAZQUEZ,8/16/1941,M,M,ross32@adventure-works.com,40000,2,Bachelors,Management,Y,ROSS VAZQUEZ,85,Budget
11149,MR.,THEODORE,GILL,4/20/1941,M,M,theodore14@adventure-works.com,40000,2,Bachelors,Management,Y,THEODORE GILL,85,Budget
11150,MR.,RUSSELL,SHEN,3/15/1941,S,M,russell6@adventure-works.com,40000,2,Bachelors,Management,Y,RUSSELL SHEN,85,Budget
11151,MRS.,MELINDA,GILL,2/25/1942,S,F,melinda9@adventure-works.com,60000,2,Graduate Degree,Management,N,MELINDA GILL,84,Mid-Range
11152,MR.,JAMES,WILLIAMS,1/10/1976,S,M,james77@adventure-works.com,40000,0,High School,Skilled Manual,Y,JAMES WILLIAMS,50,Budget
11153,MS.,ANGELA,JAMES,6/23/1976,M,F,angela34@adventure-works.com,40000,0,High School,Skilled Manual,Y,ANGELA JAMES,50,Budget
11154,MS.,MEGAN,WALKER,8/21/1976,S,F,megan25@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,MEGAN WALKER,50,Budget
11155,MR.,HUNTER,ROBINSON,1/26/1976,S,M,hunter50@adventure-works.com,40000,0,Partial College,Skilled Manual,N,HUNTER ROBINSON,50,Budget
11156,MS.,MARIA,ROBERTS,2/7/1976,S,F,maria47@adventure-works.com,40000,0,Partial College,Skilled Manual,N,MARIA ROBERTS,50,Budget
11157,MS.,HANNAH,LONG,6/11/1975,M,F,hannah32@adventure-works.com,40000,0,High School,Skilled Manual,Y,HANNAH LONG,51,Budget
11158,MR.,JASON,WRIGHT,10/8/1975,S,M,jason46@adventure-works.com,40000,0,High School,Skilled Manual,Y,JASON WRIGHT,51,Budget
11159,MS.,BRIANNA,HUGHES,9/17/1975,S,F,brianna57@adventure-works.com,40000,0,High School,Skilled Manual,N,BRIANNA HUGHES,51,Budget
11160,MR.,MAURICE,TANG,1/8/1974,S,M,maurice4@adventure-works.com,40000,0,Partial College,Skilled Manual,N,MAURICE TANG,52,Budget
11161,MS.,EMILY,WOOD,4/22/1974,S,F,emily27@adventure-works.com,40000,0,Partial College,Skilled Manual,N,EMILY WOOD,52,Budget
11162,MR.,CHASE,COX,3/5/1974,S,M,chase10@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,CHASE COX,52,Budget
11163,MR.,GABRIEL,WANG,12/20/1974,M,M,gabriel21@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,GABRIEL WANG,52,Budget
11164,MR.,DEVIN,BROOKS,5/5/1974,S,M,devin63@adventure-works.com,40000,0,Partial College,Skilled Manual,N,DEVIN BROOKS,52,Budget
11165,MS.,JOCELYN,ALEXANDER,7/18/1973,M,F,jocelyn18@adventure-works.com,60000,0,Partial College,Skilled Manual,N,JOCELYN ALEXANDER,53,Mid-Range
11166,MS.,ASHLEY,MARTINEZ,4/24/1972,S,F,ashley18@adventure-works.com,70000,0,Partial College,Skilled Manual,N,ASHLEY MARTINEZ,54,Mid-Range
11167,MS.,JASMINE,BARNES,8/1/1972,S,F,jasmine43@adventure-works.com,80000,0,Bachelors,Management,N,JASMINE BARNES,54,Mid-Range
11168,MR.,DAVID,RODRIGUEZ,5/15/1968,S,M,david83@adventure-works.com,80000,0,Bachelors,Management,N,DAVID RODRIGUEZ,58,Mid-Range
11169,MR.,BRYCE,RICHARDSON,6/22/1968,M,M,bryce8@adventure-works.com,90000,4,Bachelors,Management,Y,BRYCE RICHARDSON,58,Mid-Range
11170,MRS.,CAROL,HOWARD,2/5/1968,M,F,carol5@adventure-works.com,90000,4,Bachelors,Management,Y,CAROL HOWARD,58,Mid-Range
11171,MR.,JONATHAN,HILL,10/9/1967,S,M,jonathan43@adventure-works.com,100000,1,Bachelors,Management,Y,JONATHAN HILL,59,Premium
11172,MRS.,GABRIELLE,ADAMS,11/21/1967,M,F,gabrielle58@adventure-works.com,100000,1,Bachelors,Management,Y,GABRIELLE ADAMS,59,Premium
11173,MS.,SARAH,THOMAS,9/1/1967,S,F,sarah13@adventure-works.com,110000,0,Graduate Degree,Management,N,SARAH THOMAS,59,Premium
11174,MR.,NICHOLAS,ROBINSON,7/13/1967,M,M,nicholas19@adventure-works.com,110000,0,Graduate Degree,Management,Y,NICHOLAS ROBINSON,59,Premium
11175,MR.,LUIS,WANG,3/5/1963,S,M,luis24@adventure-works.com,70000,0,Partial College,Skilled Manual,Y,LUIS WANG,63,Mid-Range
11176,MR.,MASON,ROBERTS,1/25/1968,M,M,mason25@adventure-works.com,90000,4,Bachelors,Management,Y,MASON ROBERTS,58,Mid-Range
